code,date,BonusShares,Allotment,AllotmentPrice,Dividends
SH600030,20030828,0,0,0,0.0037
SH600030,20040611,0,0,0,0.11
SH600030,20050715,0,0,0,0.05
SH600030,20050815,0.35,0,0,0
SH600030,20060704,0,0,0,0.12
SH600030,20070521,0,0,0,0.2
SH600030,20080424,1,0,0,0.5
SH600030,20090611,0,0,0,0.5
SH600030,20100624,0.5,0,0,0.5
SH600030,20110616,0,0,0,0.5
SH600030,20120802,0,0,0,0.43
SH600030,20130808,0,0,0,0.3
SH600030,20140815,0,0,0,0.15
SH600030,20150814,0,0,0,0.2819
SH600030,20160819,0,0,0,0.5
SH600030,20170818,0,0,0,0.35
SH600030,20180824,0,0,0,0.4
SH600030,20190802,0,0,0,0.35
SH600031,20040511,0,0,0,0.5
SH600031,20050617,0.35,0,0,0.8
SH600031,20050630,1,0,0,0.2
SH600031,20070423,1,0,0,0.2
SH600031,20080710,0.5,0,0,0.05
SH600031,20090626,0,0,0,0.18
SH600031,20100624,0.5,0,0,0.16
SH600031,20101022,1.1,0,0,0.13
SH600031,20110422,0.5,0,0,0.06
SH600031,20120808,0,0,0,0.3
SH600031,20130822,0,0,0,0.25
SH600031,20140808,0,0,0,0.12
SH600031,20150611,0,0,0,0.048
SH600031,20160824,0,0,0,0.01
SH600031,20170824,0,0,0,0.01
SH600031,20171024,0,0,0,0.02
SH600031,20180821,0,0,0,0.16
SH600031,20190717,0,0,0,0.26
SH600033,20020627,0,0,0,0.12
SH600033,20030430,0.2,0,0,0.05
SH600033,20040603,0.2,0,0,0.15
SH600033,20050616,0,0,0,0.35
SH600033,20060601,0,0,0,0.35
SH600033,20060714,0.25,0,0,0
SH600033,20060919,0.5,0,0,0
SH600033,20070705,0,0,0,0.25
SH600033,20080417,0,0,0,0.25
SH600033,20090521,0,0,0,0.15
SH600033,20100617,0.5,0,0,0.1
SH600033,20110808,0,0,0,0.1
SH600033,20120611,0,0,0,0.1
SH600033,20130614,0,0,0,0.1
SH600033,20140620,0,0,0,0.1
SH600033,20150717,0,0,0,0.1
SH600033,20160608,0,0,0,0.1
SH600033,20170628,0,0,0,0.15
SH600033,20180615,0,0,0,0.12
SH600033,20190628,0,0,0,0.15
SH600035,20050616,0,0,0,0.065
SH600035,20060713,0,0,0,0.07
SH600035,20061226,0.215,0,0,0.549
SH600035,20070719,0,0,0,0.12
SH600035,20080722,0,0,0,0.16
SH600035,20090707,0,0,0,0.13
SH600035,20100706,0,0,0,0.08
SH600035,20110818,0,0,0,0.08
SH600035,20120705,0,0,0,0.08
SH600035,20130731,0,0,0,0.07
SH600035,20140514,0.3,0,0,0.09
SH600035,20150416,0.2,0,0,0.07
SH600035,20160615,0,0,0,0.09
SH600035,20170524,0,0,0,0.1
SH600035,20180608,0,0,0,0.13
SH600035,20190618,0,0,0,0.11
SH600036,20030716,0,0,0,0.12
SH600036,20040511,0.2,0,0,0.092
SH600036,20050620,0.5,0,0,0.11
SH600036,20060227,0.26,0,0,0
SH600036,20060616,0,0,0,0.08
SH600036,20060921,0,0,0,0.18
SH600036,20070704,0,0,0,0.12
SH600036,20080728,0,0,0,0.28
SH600036,20090703,0.3,0,0,0.1
SH600036,20100315,0,0.13,8.85,0
SH600036,20100701,0,0,0,0.21
SH600036,20110610,0,0,0,0.29
SH600036,20120607,0,0,0,0.42
SH600036,20130613,0,0,0,0.63
SH600036,20130905,0,0.174,9.29,0
SH600036,20140711,0,0,0,0.62
SH600036,20150703,0,0,0,0.67
SH600036,20160713,0,0,0,0.69
SH600036,20170614,0,0,0,0.74
SH600036,20180712,0,0,0,0.84
SH600036,20190712,0,0,0,0.94
SH600036,20200710,0,0,0,1.2
SH600036,20210713,0,0,0,1.253
